Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 10
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 12
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 10
A1 = 663,	 pwm = 207,	 tach = 12
A1 = 663,	 pwm = 207,	 tach = 12
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 12
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 10
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 12
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 12
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 12
A1 = 664,	 pwm = 207,	 tach = 12
A1 = 663,	 pwm = 207,	 tach = 12
A1 = 663,	 pwm = 207,	 tach = 12
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
A1 = 664,	 pwm = 207,	 tach = 11
A1 = 663,	 pwm = 207,	 tach = 11
